Field,Field_Variability_Rank,X_miles,Y_miles,Structural_Depth_ft,Isopach_ft,GammaRay_API,Resistivity_ohmm,Porosity_frac,Oil_Production_BOPD
Field_03,3,3.64,6.97,8047.3,54.6,45.7,6.78,0.1855,117.6
Field_03,3,3.74,6.97,8492.6,65.5,47.4,7.25,0.1984,139.1
Field_03,3,3.84,6.97,9106.8,76.0,49.7,8.66,0.21,167.8
Field_03,3,3.94,6.97,9731.8,84.0,51.1,11.04,0.2193,204.9
Field_03,3,4.04,6.97,10208.0,90.2,50.9,14.19,0.2265,257.9
Field_03,3,4.14,6.97,10451.3,96.9,49.6,17.39,0.2316,333.1
Field_03,3,4.24,6.97,10471.5,106.5,48.0,19.59,0.2351,418.9
Field_03,3,4.34,6.97,10334.6,119.1,46.4,20.09,0.2368,477.7
Field_03,3,4.44,6.97,10114.8,131.8,44.8,19.02,0.2362,468.6
Field_03,3,4.55,6.97,9868.5,139.6,43.3,17.13,0.2323,388.2
Field_03,3,4.65,6.97,9623.7,138.2,42.0,15.31,0.2249,277.2
Field_03,3,4.75,6.97,9375.8,126.6,41.3,14.25,0.2147,183.6
Field_03,3,4.85,6.97,9100.5,107.2,41.2,14.42,0.2038,130.6
Field_03,3,4.95,6.97,8794.2,84.4,41.5,16.1,0.1945,115.9
Field_03,3,5.05,6.97,8514.3,63.1,42.0,19.17,0.1884,122.6
Field_03,3,5.15,6.97,8372.3,47.5,42.9,22.68,0.186,129.6
Field_03,3,5.25,6.97,8463.4,39.8,44.5,24.96,0.186,127.3
Field_03,3,5.35,6.97,8779.6,40.5,46.7,24.88,0.1863,121.5
Field_03,3,5.45,6.97,9185.5,47.4,49.5,23.03,0.1851,117.4
Field_03,3,5.56,6.97,9494.2,57.4,52.3,20.94,0.1825,119.3
Field_03,3,5.66,6.97,9597.1,67.3,54.4,19.73,0.1799,129.4
Field_03,3,5.76,6.97,9532.4,75.3,55.2,19.53,0.1793,141.2
Field_03,3,5.86,6.97,9425.0,81.3,54.3,19.55,0.1816,136.1
Field_03,3,5.96,6.97,9358.3,85.6,52.2,18.53,0.1857,95.3
Field_03,3,6.06,6.97,9312.9,88.5,49.9,15.94,0.1885,29.7
Field_03,3,6.16,6.97,9227.1,88.8,48.3,12.61,0.1864,10.0
Field_03,3,6.26,6.97,9097.7,85.1,47.3,9.82,0.1787,10.0
Field_03,3,6.36,6.97,9007.2,77.0,45.5,8.17,0.1693,10.0
Field_03,3,6.46,6.97,9045.7,65.9,41.9,7.59,0.1645,10.0
Field_03,3,6.57,6.97,9203.5,54.9,36.7,7.87,0.1693,19.0
Field_03,3,6.67,6.97,9342.7,47.0,31.5,8.76,0.1832,37.9
Field_03,3,6.77,6.97,9287.9,44.2,28.2,10.07,0.2015,60.8
Field_03,3,6.87,6.97,8966.9,47.2,27.7,11.59,0.2183,94.0
Field_03,3,6.97,6.97,8481.8,55.2,29.7,13.13,0.2298,141.6
Field_03,3,7.07,6.97,8051.4,65.6,33.7,14.44,0.2345,197.7
Field_03,3,7.17,6.97,7871.6,73.8,39.4,15.31,0.2319,243.5
Field_03,3,7.27,6.97,8002.2,75.7,45.9,15.73,0.2226,259.6
Field_03,3,7.37,6.97,8357.6,70.1,52.2,15.94,0.2085,244.5
Field_03,3,7.47,6.97,8790.1,60.6,56.9,16.1,0.193,215.5
Field_03,3,7.58,6.97,9179.0,53.2,58.9,16.15,0.1801,195.0
Field_03,3,7.68,6.97,9454.6,53.1,57.5,15.96,0.1729,200.9
Field_03,3,7.78,6.97,9583.0,61.9,52.9,15.62,0.1727,239.2
Field_03,3,7.88,6.97,9569.5,77.4,46.8,15.51,0.1775,300.5
Field_03,3,7.98,6.97,9476.7,95.2,41.4,16.02,0.1826,361.0
Field_03,3,8.08,6.97,9393.3,109.4,38.7,17.31,0.1816,392.8
Field_03,3,8.18,6.97,9352.8,114.7,38.7,19.17,0.1709,384.0
Field_03,3,8.28,6.97,9297.9,108.6,39.9,20.89,0.152,340.7
Field_03,3,8.38,6.97,9149.7,92.7,41.0,21.48,0.1307,270.6
Field_03,3,8.48,6.97,8908.2,73.1,41.7,20.38,0.1147,192.8
Field_03,3,8.59,6.97,8662.7,57.0,43.0,18.13,0.1094,135.9
Field_03,3,8.69,6.97,8506.9,48.7,45.6,15.94,0.1167,112.0
Field_03,3,8.79,6.97,8463.5,48.3,49.5,14.69,0.134,119.0
Field_03,3,8.89,6.97,8490.4,52.9,53.8,14.68,0.1557,156.4
Field_03,3,8.99,6.97,8535.2,59.4,57.6,15.79,0.1758,230.2
Field_03,3,9.09,6.97,8571.6,66.4,60.6,17.61,0.1908,344.6
Field_03,3,9.19,6.97,8601.2,73.0,62.4,19.57,0.2,481.9
Field_03,3,9.29,6.97,8642.0,77.7,63.1,21.2,0.2046,591.5
Field_03,3,9.39,6.97,8713.7,78.9,63.1,22.36,0.2066,622.2
Field_03,3,9.49,6.97,8816.9,76.2,62.8,23.23,0.2081,572.7
Field_03,3,9.6,6.97,8922.5,71.1,62.4,24.0,0.211,490.8
Field_03,3,9.7,6.97,8986.7,66.1,61.0,24.66,0.2158,425.0
Field_03,3,9.8,6.97,8980.1,63.0,58.0,24.87,0.2215,392.6
Field_03,3,9.9,6.97,8903.4,61.8,52.9,24.12,0.2269,378.6
Field_03,3,10.0,6.97,8787.9,60.9,46.2,22.09,0.2323,350.7
Field_03,3,0.0,7.07,8743.0,63.0,40.5,22.32,0.2255,295.8
Field_03,3,0.1,7.07,8768.7,57.6,36.0,19.46,0.2306,222.4
Field_03,3,0.2,7.07,8792.0,51.1,33.9,16.89,0.2392,168.1
Field_03,3,0.3,7.07,8754.9,47.1,34.6,15.09,0.2479,145.8
Field_03,3,0.4,7.07,8591.9,48.2,37.5,14.12,0.2525,158.8
Field_03,3,0.51,7.07,8291.3,55.1,41.3,13.78,0.2496,209.2
Field_03,3,0.61,7.07,7926.4,66.0,44.8,13.67,0.2386,290.7
Field_03,3,0.71,7.07,7615.7,78.0,47.5,13.37,0.2218,372.7
Field_03,3,0.81,7.07,7441.1,88.0,49.1,12.7,0.2031,412.9
Field_03,3,0.91,7.07,7407.7,94.3,49.6,11.8,0.1863,399.4
Field_03,3,1.01,7.07,7483.7,97.1,48.9,10.99,0.1736,358.8
Field_03,3,1.11,7.07,7666.8,98.5,47.1,10.48,0.1658,319.3
Field_03,3,1.21,7.07,7984.6,100.8,45.0,10.27,0.1629,290.3
Field_03,3,1.31,7.07,8425.1,105.0,43.6,10.09,0.1639,265.3
Field_03,3,1.41,7.07,8892.7,110.3,43.4,9.58,0.1671,233.8
Field_03,3,1.52,7.07,9258.2,114.6,43.6,8.59,0.1705,192.3
Field_03,3,1.62,7.07,9452.1,116.6,42.4,7.35,0.1725,149.4
Field_03,3,1.72,7.07,9494.2,116.7,38.9,6.28,0.173,116.3
Field_03,3,1.82,7.07,9439.0,116.1,33.6,5.69,0.1745,98.8
Field_03,3,1.92,7.07,9318.3,115.7,28.2,5.75,0.1801,98.7
Field_03,3,2.02,7.07,9153.1,114.3,24.8,6.57,0.1915,119.8
Field_03,3,2.12,7.07,9000.3,110.1,24.1,8.29,0.2072,169.7
Field_03,3,2.22,7.07,8948.3,101.9,25.7,10.88,0.2234,249.6
Field_03,3,2.32,7.07,9039.6,91.1,28.7,13.91,0.2361,330.7
Field_03,3,2.42,7.07,9211.7,80.4,31.7,16.61,0.2414,367.4
Field_03,3,2.53,7.07,9335.0,72.7,34.3,18.59,0.2366,351.9
Field_03,3,2.63,7.07,9314.9,69.1,36.5,20.07,0.2215,315.5
Field_03,3,2.73,7.07,9148.1,68.8,39.4,21.23,0.1994,285.3
Field_03,3,2.83,7.07,8894.7,70.1,43.6,21.71,0.1764,270.4
Field_03,3,2.93,7.07,8622.4,70.9,49.1,20.91,0.1589,265.3
Field_03,3,3.03,7.07,8376.3,68.9,54.6,18.73,0.1499,253.7
Field_03,3,3.13,7.07,8169.0,62.6,58.4,15.7,0.1486,220.6
Field_03,3,3.23,7.07,7985.4,52.5,59.2,12.57,0.152,168.3
Field_03,3,3.33,7.07,7811.9,41.6,56.6,9.95,0.1577,116.7
Field_03,3,3.43,7.07,7683.1,34.4,52.2,8.08,0.1654,84.5
Field_03,3,3.54,7.07,7692.5,35.0,48.2,7.04,0.1755,77.5
Field_03,3,3.64,7.07,7937.7,43.8,46.1,6.82,0.1871,91.5
Field_03,3,3.74,7.07,8440.4,57.4,46.1,7.47,0.1985,119.2
Field_03,3,3.84,7.07,9108.2,70.9,47.0,9.14,0.2082,155.2
Field_03,3,3.94,7.07,9772.6,81.4,47.8,11.95,0.2155,200.3
Field_03,3,4.04,7.07,10271.5,89.1,47.9,15.65,0.2205,261.3
Field_03,3,4.14,7.07,10517.4,96.6,47.7,19.2,0.2236,342.8
Field_03,3,4.24,7.07,10513.2,106.3,47.3,21.09,0.2254,429.0
Field_03,3,4.34,7.07,10322.1,118.0,46.6,20.58,0.2264,482.0
Field_03,3,4.44,7.07,10025.8,128.7,45.2,18.37,0.2266,470.7
Field_03,3,4.55,7.07,9695.1,133.8,43.4,15.77,0.2253,400.7
Field_03,3,4.65,7.07,9372.1,130.0,41.7,13.73,0.222,305.7
Field_03,3,4.75,7.07,9065.0,117.3,40.6,12.66,0.2168,220.6
Field_03,3,4.85,7.07,8765.7,98.5,40.6,12.68,0.211,164.2
Field_03,3,4.95,7.07,8486.8,77.6,41.4,13.73,0.2058,136.9
Field_03,3,5.05,7.07,8290.3,58.9,42.9,15.54,0.2019,126.1
Field_03,3,5.15,7.07,8270.5,45.9,45.2,17.44,0.1991,117.9
Field_03,3,5.25,7.07,8488.9,40.7,48.0,18.54,0.1964,109.3
Field_03,3,5.35,7.07,8903.4,42.8,51.1,18.35,0.193,103.3
Field_03,3,5.45,7.07,9357.3,49.7,53.9,17.21,0.1881,101.5
Field_03,3,5.56,7.07,9661.1,58.4,56.0,15.98,0.1819,106.8
Field_03,3,5.66,7.07,9720.8,67.0,57.1,15.43,0.176,120.8
Field_03,3,5.76,7.07,9602.4,75.0,57.3,15.8,0.1723,139.5
Field_03,3,5.86,7.07,9459.9,82.7,56.8,16.64,0.1728,148.2
Field_03,3,5.96,7.07,9393.2,89.8,55.9,16.84,0.177,123.2
Field_03,3,6.06,7.07,9376.9,95.0,55.2,15.42,0.182,62.1
Field_03,3,6.16,7.07,9325.9,96.6,54.8,12.68,0.1841,10.0
Field_03,3,6.26,7.07,9214.2,93.1,54.2,9.89,0.1823,10.0
Field_03,3,6.36,7.07,9119.8,84.2,52.1,7.98,0.1796,10.0
Field_03,3,6.46,7.07,9150.6,71.8,47.9,7.17,0.181,10.0
Field_03,3,6.57,7.07,9323.5,59.2,42.3,7.35,0.1895,27.1
Field_03,3,6.67,7.07,9514.0,49.9,37.1,8.37,0.2031,45.1
Field_03,3,6.77,7.07,9536.6,46.1,34.3,10.12,0.2174,68.5
Field_03,3,6.87,7.07,9293.0,48.5,34.3,12.39,0.2279,104.4
Field_03,3,6.97,7.07,8858.1,55.8,36.8,14.83,0.2331,157.2
Field_03,3,7.07,7.07,8429.1,65.0,40.8,16.96,0.2326,219.8
Field_03,3,7.17,7.07,8184.6,71.7,45.4,18.37,0.2264,270.2
Field_03,3,7.27,7.07,8177.2,72.2,49.8,19.03,0.2145,285.6
Field_03,3,7.37,7.07,8339.6,66.0,53.2,19.27,0.1987,264.4
Field_03,3,7.47,7.07,8575.3,56.7,55.1,19.32,0.1828,228.4
Field_03,3,7.58,7.07,8826.7,49.9,55.1,19.09,0.1715,204.7
Field_03,3,7.68,7.07,9064.7,50.4,53.0,18.38,0.1681,212.1
Field_03,3,7.78,7.07,9248.6,59.4,49.0,17.33,0.173,255.5
Field_03,3,7.88,7.07,9336.1,75.1,43.9,16.39,0.1827,323.1
Field_03,3,7.98,7.07,9330.7,93.4,39.5,15.9,0.1905,387.7
Field_03,3,8.08,7.07,9280.5,109.2,37.3,15.98,0.189,419.9
Field_03,3,8.18,7.07,9211.1,117.4,37.6,16.48,0.1751,409.9
Field_03,3,8.28,7.07,9083.2,115.1,39.4,17.1,0.1519,366.8
Field_03,3,8.38,7.07,8849.9,103.7,41.2,17.46,0.1273,303.0
Field_03,3,8.48,7.07,8546.6,88.2,42.5,17.29,0.1098,237.6
Field_03,3,8.59,7.07,8295.4,75.0,44.2,16.64,0.1048,193.0
Field_03,3,8.69,7.07,8207.3,67.9,47.0,15.95,0.113,179.6
Field_03,3,8.79,7.07,8292.8,66.7,51.1,15.72,0.1313,197.6
Field_03,3,8.89,7.07,8469.4,69.0,55.7,16.18,0.1535,248.0
Field_03,3,8.99,7.07,8639.3,72.6,60.0,17.22,0.1737,332.6
Field_03,3,9.09,7.07,8750.6,76.5,63.2,18.41,0.1884,443.7
Field_03,3,9.19,7.07,8801.6,80.4,64.8,19.29,0.1971,552.4
Field_03,3,9.29,7.07,8814.4,83.1,64.8,19.78,0.2017,618.2
Field_03,3,9.39,7.07,8811.5,83.0,63.6,20.18,0.2043,618.5
Field_03,3,9.49,7.07,8804.0,79.6,62.1,20.92,0.2073,567.6
Field_03,3,9.6,7.07,8792.2,74.1,60.7,22.21,0.2121,500.7
Field_03,3,9.7,7.07,8774.4,69.2,59.0,23.85,0.218,447.8
Field_03,3,9.8,7.07,8754.9,66.5,56.2,25.25,0.2226,419.0
Field_03,3,9.9,7.07,8740.4,66.0,51.8,25.67,0.2243,399.4
Field_03,3,10.0,7.07,8734.7,65.6,46.3,24.63,0.2242,361.6
Field_03,3,0.0,7.17,8723.0,68.6,41.0,26.5,0.2075,282.9
Field_03,3,0.1,7.17,8789.7,63.9,37.2,24.23,0.2106,223.4
Field_03,3,0.2,7.17,8818.8,58.6,35.3,21.65,0.2203,184.9
Field_03,3,0.3,7.17,8766.4,55.2,35.7,19.43,0.2335,176.4
Field_03,3,0.4,7.17,8588.9,55.8,38.3,17.95,0.245,201.4
Field_03,3,0.51,7.17,8292.5,60.8,42.0,17.17,0.2494,261.6
Field_03,3,0.61,7.17,7957.4,68.9,45.8,16.77,0.2438,348.3
Field_03,3,0.71,7.17,7694.8,78.1,48.7,16.26,0.2291,428.7
Field_03,3,0.81,7.17,7571.4,86.2,50.3,15.38,0.2094,460.6
Field_03,3,0.91,7.17,7577.4,91.9,50.5,14.23,0.1904,435.8
Field_03,3,1.01,7.17,7674.7,95.0,49.4,13.1,0.1764,384.1
Field_03,3,1.11,7.17,7862.8,97.1,47.1,12.16,0.1694,334.9
Field_03,3,1.21,7.17,8173.5,100.1,44.4,11.38,0.1689,297.7
Field_03,3,1.31,7.17,8597.2,104.8,42.3,10.57,0.1729,267.5
Field_03,3,1.41,7.17,9038.9,110.3,41.4,9.53,0.1785,236.7
Field_03,3,1.52,7.17,9371.3,114.7,41.0,8.27,0.1829,202.6
Field_03,3,1.62,7.17,9526.3,116.7,39.9,7.03,0.1844,169.3
Field_03,3,1.72,7.17,9520.1,117.1,36.9,6.14,0.1833,143.9
Field_03,3,1.82,7.17,9400.8,117.5,32.5,5.81,0.1827,131.7
Field_03,3,1.92,7.17,9203.3,118.3,28.2,6.19,0.1863,137.2
Field_03,3,2.02,7.17,8967.7,118.6,25.5,7.43,0.1961,165.9
Field_03,3,2.12,7.17,8776.2,116.1,25.1,9.67,0.2102,226.7
Field_03,3,2.22,7.17,8729.9,109.3,26.7,12.76,0.2247,319.2
Field_03,3,2.32,7.17,8863.1,98.9,29.1,15.98,0.2349,404.4
Field_03,3,2.42,7.17,9088.2,87.3,31.3,18.37,0.2373,423.6
Field_03,3,2.53,7.17,9249.3,77.4,33.0,19.7,0.2297,373.3
Field_03,3,2.63,7.17,9239.0,71.5,34.8,20.39,0.2126,301.3
Field_03,3,2.73,7.17,9062.4,70.1,37.9,20.68,0.1896,244.5
Field_03,3,2.83,7.17,8802.4,72.0,43.0,20.27,0.167,213.9
Field_03,3,2.93,7.17,8544.8,74.5,49.7,18.86,0.1506,205.3
Field_03,3,3.03,7.17,8331.0,74.2,56.4,16.62,0.1436,203.1
Field_03,3,3.13,7.17,8151.3,67.8,61.0,14.1,0.1447,188.1
Field_03,3,3.23,7.17,7970.9,55.3,61.9,11.77,0.1504,151.5
Field_03,3,3.33,7.17,7779.5,40.2,59.1,9.87,0.1581,105.1
Field_03,3,3.43,7.17,7633.3,29.0,54.0,8.51,0.1672,70.8
Field_03,3,3.54,7.17,7640.7,27.1,48.9,7.74,0.1781,61.6
Field_03,3,3.64,7.17,7892.8,35.5,45.6,7.65,0.1904,76.5
Field_03,3,3.74,7.17,8394.2,50.3,44.0,8.36,0.2023,106.0
Field_03,3,3.84,7.17,9050.5,65.6,43.6,10.06,0.2115,142.2
Field_03,3,3.94,7.17,9710.4,77.7,43.4,12.87,0.2172,184.9
Field_03,3,4.04,7.17,10226.8,86.8,43.5,16.49,0.2192,241.7
Field_03,3,4.14,7.17,10502.3,95.3,43.8,19.8,0.2185,318.6
Field_03,3,4.24,7.17,10508.6,105.1,44.1,21.23,0.2166,402.3
Field_03,3,4.34,7.17,10283.7,115.6,43.8,20.14,0.2151,458.4
Field_03,3,4.44,7.17,9911.5,123.6,42.4,17.5,0.2148,459.3
Field_03,3,4.55,7.17,9487.1,125.6,40.4,14.76,0.2153,408.8
Field_03,3,4.65,7.17,9082.1,119.6,38.5,12.78,0.216,332.5
Field_03,3,4.75,7.17,8729.4,107.0,37.7,11.76,0.2166,257.0
Field_03,3,4.85,7.17,8439.5,90.5,38.3,11.56,0.217,198.5
Field_03,3,4.95,7.17,8232.4,73.4,40.2,11.95,0.2171,160.5
Field_03,3,5.05,7.17,8154.6,58.8,43.4,12.6,0.2162,136.4
Field_03,3,5.15,7.17,8260.1,49.4,47.6,13.18,0.2138,119.1
Field_03,3,5.25,7.17,8563.9,46.5,52.1,13.42,0.2091,106.8
Field_03,3,5.35,7.17,8997.3,49.1,56.1,13.22,0.2021,99.5
Field_03,3,5.45,7.17,9411.0,54.6,58.8,12.73,0.1931,97.5
Field_03,3,5.56,7.17,9647.8,61.0,59.9,12.28,0.1829,102.8
Field_03,3,5.66,7.17,9651.0,67.7,59.9,12.27,0.1731,116.6
Field_03,3,5.76,7.17,9510.0,75.5,59.5,12.95,0.1665,137.6
Field_03,3,5.86,7.17,9381.6,84.5,59.2,14.13,0.1653,156.0
Field_03,3,5.96,7.17,9350.6,93.4,59.3,15.02,0.1697,149.4
Field_03,3,6.06,7.17,9369.7,99.8,59.7,14.57,0.1765,104.3
Field_03,3,6.16,7.17,9338.1,101.4,59.8,12.59,0.182,49.0
Field_03,3,6.26,7.17,9227.6,97.2,58.9,10.04,0.1851,20.7
Field_03,3,6.36,7.17,9127.3,87.9,56.3,8.04,0.1882,20.2
Field_03,3,6.46,7.17,9163.1,75.7,52.0,7.08,0.1947,31.0
Field_03,3,6.57,7.17,9367.3,64.0,46.8,7.19,0.2054,45.0
Field_03,3,6.67,7.17,9618.9,55.5,42.5,8.35,0.2174,62.8
Field_03,3,6.77,7.17,9720.1,52.2,40.5,10.53,0.2267,88.8
Field_03,3,6.87,7.17,9551.1,54.2,41.2,13.6,0.231,128.7
Field_03,3,6.97,7.17,9164.1,60.5,44.1,17.05,0.2306,183.3
Field_03,3,7.07,7.17,8732.8,68.2,48.0,20.11,0.2262,241.6
Field_03,3,7.17,7.17,8413.9,73.6,51.8,22.07,0.2177,282.6
Field_03,3,7.27,7.17,8252.2,73.5,54.5,22.88,0.2045,291.0
Field_03,3,7.37,7.17,8207.0,67.4,55.4,23.06,0.1882,270.9
Field_03,3,7.47,7.17,8244.8,58.5,54.6,22.98,0.1731,241.7
Field_03,3,7.58,7.17,8378.6,52.2,52.7,22.49,0.1642,226.4
Field_03,3,7.68,7.17,8616.3,52.7,49.8,21.32,0.1645,242.1
Field_03,3,7.78,7.17,8897.7,61.2,46.2,19.59,0.1735,294.5
Field_03,3,7.88,7.17,9118.7,76.2,42.1,17.83,0.1862,371.5
Field_03,3,7.98,7.17,9216.6,94.3,38.4,16.46,0.1948,442.9
Field_03,3,8.08,7.17,9203.4,110.6,36.4,15.59,0.192,476.2
Field_03,3,8.18,7.17,9107.8,120.5,36.7,15.16,0.1751,460.9
Field_03,3,8.28,7.17,8919.2,121.2,38.7,15.09,0.1488,410.4
Field_03,3,8.38,7.17,8623.4,113.8,41.3,15.29,0.1224,347.0
Field_03,3,8.48,7.17,8280.8,102.6,43.7,15.65,0.105,294.8
Field_03,3,8.59,7.17,8029.4,92.8,46.3,16.11,0.1017,272.8
Field_03,3,8.69,7.17,7988.4,87.4,49.4,16.62,0.1123,285.0
Field_03,3,8.79,7.17,8164.3,85.9,53.5,17.2,0.1323,325.3
Field_03,3,8.89,7.17,8456.5,86.2,58.0,17.82,0.1549,386.6
Field_03,3,8.99,7.17,8740.4,87.0,62.4,18.28,0.1739,460.8
Field_03,3,9.09,7.17,8937.8,88.2,65.5,18.34,0.1861,532.6
Field_03,3,9.19,7.17,9026.5,90.0,66.8,17.9,0.192,580.7
Field_03,3,9.29,7.17,9016.2,91.4,65.8,17.28,0.1939,590.0
Field_03,3,9.39,7.17,8931.1,90.9,63.3,17.02,0.1948,563.4
Field_03,3,9.49,7.17,8804.4,87.4,60.5,17.62,0.1974,517.9
Field_03,3,9.6,7.17,8674.6,81.9,58.1,19.34,0.2028,471.6
Field_03,3,9.7,7.17,8579.2,76.4,56.0,22.0,0.2094,435.0
Field_03,3,9.8,7.17,8544.6,73.0,53.5,24.94,0.2138,409.7
Field_03,3,9.9,7.17,8573.7,71.7,50.0,27.09,0.2134,384.8
Field_03,3,10.0,7.17,8643.4,71.0,45.6,27.64,0.2098,343.1
Field_03,3,0.0,7.27,8575.9,74.0,41.1,29.94,0.1907,261.3
Field_03,3,0.1,7.27,8648.8,71.1,37.6,28.91,0.1931,225.9
Field_03,3,0.2,7.27,8673.7,67.7,35.5,26.9,0.2042,211.1
Field_03,3,0.3,7.27,8625.8,65.3,35.5,24.63,0.2214,225.1
Field_03,3,0.4,7.27,8480.3,65.0,37.8,22.76,0.2383,269.9
Field_03,3,0.51,7.27,8251.7,67.1,41.5,21.57,0.2478,342.1
Field_03,3,0.61,7.27,8014.0,71.3,45.6,20.87,0.2454,426.1
Field_03,3,0.71,7.27,7859.5,76.8,48.8,20.16,0.2313,488.1
Field_03,3,0.81,7.27,7829.3,82.3,50.6,19.05,0.2106,494.4
Field_03,3,0.91,7.27,7894.4,86.7,51.0,17.5,0.1906,446.4
Field_03,3,1.01,7.27,8011.6,89.7,49.9,15.71,0.1774,376.9
Field_03,3,1.11,7.27,8188.6,92.2,47.4,13.92,0.1733,314.3
Field_03,3,1.21,7.27,8470.5,95.8,44.2,12.25,0.1772,268.0
Field_03,3,1.31,7.27,8857.5,101.0,41.1,10.74,0.1853,236.3
Field_03,3,1.41,7.27,9259.5,106.8,38.9,9.38,0.1938,214.8
Field_03,3,1.52,7.27,9551.5,111.2,37.4,8.18,0.1997,199.0
Field_03,3,1.62,7.27,9665.9,113.2,35.9,7.23,0.2012,186.0
Field_03,3,1.72,7.27,9616.6,113.5,33.6,6.7,0.1987,176.7
Field_03,3,1.82,7.27,9450.6,114.1,30.9,6.77,0.195,176.4
Field_03,3,1.92,7.27,9208.1,115.8,28.6,7.61,0.1943,192.1
Field_03,3,2.02,7.27,8941.1,117.9,27.6,9.45,0.1993,231.9
Field_03,3,2.12,7.27,8739.5,118.3,28.4,12.38,0.2093,304.2
Field_03,3,2.22,7.27,8698.9,114.7,30.3,15.98,0.2207,405.5
Field_03,3,2.32,7.27,8838.8,106.8,32.3,19.14,0.2289,489.2
Field_03,3,2.42,7.27,9059.5,95.9,33.6,20.81,0.23,487.8
Field_03,3,2.53,7.27,9203.6,85.0,34.2,20.99,0.2222,402.6
Field_03,3,2.63,7.27,9171.6,77.0,35.1,20.42,0.206,296.5
Field_03,3,2.73,7.27,8983.1,73.7,37.6,19.49,0.1849,215.8
Field_03,3,2.83,7.27,8735.1,74.8,42.6,18.13,0.1644,172.4
Field_03,3,2.93,7.27,8517.0,77.8,49.5,16.32,0.1497,160.3
Field_03,3,3.03,7.27,8354.6,78.4,56.5,14.37,0.1438,164.7
Field_03,3,3.13,7.27,8212.0,72.6,61.3,12.63,0.1458,165.7
Field_03,3,3.23,7.27,8038.0,59.4,62.2,11.25,0.1524,146.9
Field_03,3,3.33,7.27,7830.8,42.5,59.2,10.2,0.1609,109.4
Field_03,3,3.43,7.27,7666.6,28.8,53.9,9.46,0.1707,73.5
Field_03,3,3.54,7.27,7658.6,24.6,48.5,9.06,0.1825,59.7
Field_03,3,3.64,7.27,7879.3,31.2,44.4,9.15,0.1961,71.3
Field_03,3,3.74,7.27,8316.8,45.0,41.8,9.89,0.2093,98.1
Field_03,3,3.84,7.27,8891.6,60.1,40.2,11.46,0.2191,130.6
Field_03,3,3.94,7.27,9496.1,73.0,39.4,13.91,0.2236,167.9
Field_03,3,4.04,7.27,10016.1,83.4,39.3,16.86,0.2227,217.9
Field_03,3,4.14,7.27,10343.4,93.2,39.7,19.3,0.2177,286.9
Field_03,3,4.24,7.27,10402.6,103.5,40.1,19.95,0.2114,363.6
Field_03,3,4.34,7.27,10187.7,112.9,39.6,18.49,0.2064,418.2
Field_03,3,4.44,7.27,9773.3,118.6,38.0,15.94,0.2043,428.6
Field_03,3,4.55,7.27,9278.8,118.0,35.9,13.55,0.2054,397.7
Field_03,3,4.65,7.27,8812.4,110.8,34.4,11.92,0.2093,344.0
Field_03,3,4.75,7.27,8438.9,99.4,34.1,11.1,0.2149,285.2
Field_03,3,4.85,7.27,8186.4,86.4,35.6,10.79,0.2212,232.4
Field_03,3,4.95,7.27,8071.7,74.1,38.8,10.69,0.2265,189.9
Field_03,3,5.05,7.27,8110.0,63.9,43.6,10.54,0.2291,156.7
Field_03,3,5.15,7.27,8306.2,57.6,49.6,10.32,0.2276,131.4
Field_03,3,5.25,7.27,8633.1,55.9,55.7,10.1,0.2217,113.8
Field_03,3,5.35,7.27,9015.0,57.6,60.6,9.98,0.2118,103.6
Field_03,3,5.45,7.27,9335.4,60.9,63.2,9.94,0.1992,100.6
Field_03,3,5.56,7.27,9490.5,64.8,63.5,10.03,0.1853,104.9
Field_03,3,5.66,7.27,9463.9,69.8,62.5,10.39,0.1724,117.3
Field_03,3,5.76,7.27,9349.5,77.3,61.5,11.16,0.1636,137.4
Field_03,3,5.86,7.27,9273.5,87.0,61.3,12.33,0.1613,159.1
Field_03,3,5.96,7.27,9279.8,96.4,61.9,13.44,0.1654,164.9
Field_03,3,6.06,7.27,9299.7,102.1,62.4,13.66,0.1722,139.0
Field_03,3,6.16,7.27,9240.7,102.0,62.1,12.49,0.1785,96.3
Field_03,3,6.26,7.27,9101.3,96.5,60.3,10.42,0.1834,67.1
Field_03,3,6.36,7.27,8993.3,87.5,57.1,8.51,0.1895,58.4
Field_03,3,6.46,7.27,9049.8,77.7,53.0,7.46,0.199,61.8
Field_03,3,6.57,7.27,9296.8,69.5,48.8,7.48,0.2108,72.4
Field_03,3,6.67,7.27,9602.1,64.4,45.7,8.65,0.2213,91.1
Field_03,3,6.77,7.27,9758.6,62.9,44.8,11.02,0.2272,120.5
Field_03,3,6.87,7.27,9640.8,64.9,46.1,14.51,0.2281,161.3
Field_03,3,6.97,7.27,9292.5,69.7,49.2,18.65,0.2255,208.2
Field_03,3,7.07,7.27,8869.0,75.4,53.1,22.47,0.2204,247.1
Field_03,3,7.17,7.27,8502.0,79.3,56.4,25.02,0.2119,264.8
Field_03,3,7.27,7.27,8225.4,78.7,58.0,26.13,0.1991,262.6
Field_03,3,7.37,7.27,8022.8,73.2,57.4,26.39,0.1833,252.2
Field_03,3,7.47,7.27,7917.3,65.4,54.9,26.3,0.1691,245.4
Field_03,3,7.58,7.27,7981.5,59.8,51.6,25.73,0.1618,253.4
